# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\Background\Beach.png	248	0	248
100	textures\Character\MarcoRossi1.png	255	255	255
101	textures\Chowmein Conga.png	3	26	110
300	textures\Miscellaneous\Weapon.png	0	248	0
# id	left	top	right	bottom	texture_id
[SPRITES]
#Bullet
300001	4	20	34	25	300
#Conga_idle
100001	15	27	66	72	101
100002	82	27	132	72	101
100003	147	27	197	72	101
100004	211	28	263	72	101
100005	279	28	332	72	101
100006	347	28	400	72	101
100007	415	27	465	71	101
#Conga_Die
210001	27	892	81	936	101
210002	94	893	146	936	101
210003	161	894	214	936	101
210004	232	892	288	936	101
210005	306	887	369	936	101
210006	383	884	449	936	101
210007	471	884	536	936	101
# === BODY ===
#drop
110001	654	148	683	171	100
#idle
110101	12	8	41	37	100
110102	45	8	74	37	100
110103	78	8	108	36	100
110104	112	9	143	36	100
#walk
#walk
110201	13	149	45	177	100
110202	47	148	77	177	100
110203	79	148	107	176	100
110204	109	149	136	176	100
110205	139	149	168	177	100
110206	171	149	201	177	100
110207	204	149	236	178	100
110208	239	149	271	178	100
110209	274	149	306	177	100
110210	308	149	339	176	100
110211	342	149	373	177	100
110212	376	149	407	177	100
#throw
110301	1076	53	1107	82	100
110302	1110	53	1143	82	100
110303	1146	52	1177	82	100
110304	1181	54	1212	82	100
110305	1215	54	1246	82	100
#jump
110401	751	147	774	179	100
110402	777	147	779	180	100
110403	806	147	838	179	100
110404	841	147	868	182	100
110405	871	147	894	179	100
110406	898	147	918	176	100
110407	927	147	956	177	100
110408	958	147	987	177	100
#shoot-right
110501	227	8	277	31	100
110502	281	8	332	31	100
110503	336	8	373	35	100
110504	393	8	430	31	100
110505	436	6	473	31	100
110506	478	6	515	31	100
110507	519	8	556	31	100
110508	560	8	594	34	100
110509	598	8	631	35	100
110510	635	7	667	34	100
#shoot-down
110601	432	40	452	75	100
110602	455	40	475	92	100
110603	478	40	498	92	100
110604	501	40	521	94	100
110605	524	40	547	69	100
110606	550	40	570	71	100
110607	573	40	593	73	100
# === FEET ===
#drop
120001	894	1528	915	1547	100
120002	870	1528	891	1548	100
120003	847	1528	867	1551	100
120004	824	1528	844	1553	100
120005	802	1528	821	1553	100
120006	781	1528	799	1553	100
#idle
120101	130	1537	151	1553	100
#walk-right
120201	513	1533	528	1553	100
120202	530	1533	548	1553	100
120203	551	1533	572	1553	100
120204	576	1533	600	1553	100
120205	603	1533	617	1553	100
120206	621	1533	640	1553	100
120207	644	1533	670	1553	100
120208	674	1533	690	1553	100
#walk-right
120301	513	1533	528	1553	100
120302	530	1533	548	1553	100
120303	551	1533	572	1553	100
120304	576	1533	600	1553	100
120305	603	1533	617	1553	100
120306	621	1533	640	1553	100
120307	644	1533	670	1553	100
120308	674	1533	690	1553	100
#jump
120401	918	1528	945	1550	100
120402	948	1528	977	1548	100
120403	980	1528	1013	1546	100
120404	1016	1530	1046	1544	100
120405	1049	1530	1079	1545	100
120406	1083	1530	1109	1546	100
#jump and drop
120501	781	1528	799	1553	100
120502	802	1528	821	1553	100
120503	824	1528	844	1553	100
120504	847	1528	867	1551	100
120505	870	1528	891	1548	100
120506	894	1528	915	1547	100
120507	894	1528	915	1547	100
120508	870	1528	891	1548	100
120509	847	1528	867	1551	100
120510	824	1528	844	1553	100
120511	802	1528	821	1553	100
120512	781	1528	799	1553	100
# === BACKGROUND ===
360001	1	1196	1609	1417	0
# === ANIMATED OBJECT ===
#WAVE EFFECT 1
390001	2	669	565	693	0
390002	2	735	565	759	0
390003	2	801	565	825	0
390004	2	867	565	891	0
390005	2	933	565	957	0
390006	2	999	565	1023	0
390007	2	1065	565	1089	0
390008	2	1131	565	1155	0
#WAVE EFFECT 2
390101	2	694	565	734	0
390102	2	760	565	800	0
390103	2	826	565	866	0
390104	2	892	565	932	0
390105	2	958	565	998	0
390106	2	1024	565	1064	0
390107	2	1090	565	1130	0
390108	2	1156	565	1196	0
#SAND BACKGROUND 1
390201	2891	148	3093	211	0
# === PARALLAX ===
430001	2	2	2375	274	0

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
# walk
